Site,Round,Tierce_Prediction,Answer,Result,Payoff
戸田,3R,1-3-2,4-1-5,,0
戸田,4R,1-4-2,6-5-3,,0
戸田,5R,1-3-4,3-1-4,,0
戸田,7R,1-2-5,4-1-5,,0
戸田,8R,1-2-3,1-4-3,,0
戸田,10R,1-2-3,1-3-6,,0
蒲郡,9R,1-2-4,1-4-5,,0
津,9R,1-3-2,1-2-3,,0
津,10R,1-4-3,1-4-2,,0
鳴門,1R,1-2-3,1-5-3,,0
鳴門,4R,1-2-4,5-3-4,,0
鳴門,7R,1-2-4,6-1-4,,0
丸亀,5R,1-2-3,2-6-3,,0
丸亀,7R,1-2-4,2-1-5,,0
丸亀,11R,1-2-3,5-6-1,,0
児島,3R,1-3-5,3-1-5,,0
児島,6R,1-3-2,2-3-5,,0
児島,7R,1-2-3,6-2-3,,0
児島,8R,1-2-5,5-2-4,,0
児島,10R,1-4-3,1-5-6,,0
宮島,1R,1-3-5,1-5-6,,0
宮島,2R,1-3-2,3-4-5,,0
宮島,6R,2-1-3,1-5-2,,0
宮島,9R,1-4-2,1-5-4,,0
宮島,11R,1-3-2,1-2-3,,0
芦屋,2R,1-4-3,1-4-3,Hit,400
芦屋,4R,1-2-4,1-2-5,,0
芦屋,5R,1-2-4,1-2-6,,0
芦屋,8R,1-3-2,1-2-3,,0
芦屋,9R,1-2-4,6-4-2,,0
芦屋,10R,1-2-3,1-3-4,,0
芦屋,12R,1-2-3,1-2-3,Hit,340
唐津,7R,1-3-2,3-1-2,,0
大村,4R,1-2-5,1-2-3,,0
大村,6R,1-2-4,1-4-3,,0
大村,7R,1-2-3,3-1-6,,0
大村,9R,1-3-4,1-2-3,,0
大村,10R,1-3-2,1-2-3,,0
